brand_model_year,family car,fuel-efficient car,comfortable car,luxury car,sporty car,quiet car,commuter car,stylish car,affordable car,compact car,spacious car,sexy car
HYUNDAI SONATA 2017,0.0,0.6666666666666666,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
HYUNDAI TUCSON 2016,0.047619047619047616,0.8571428571428571,1.0,0.09523809523809523,0.5714285714285714,0.9523809523809523,0.047619047619047616,0.09523809523809523,0.23809523809523808,0.23809523809523808,0.09523809523809523,0.09523809523809523
HYUNDAI TUCSON 2017,0.0,0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
HYUNDAI VELOSTER 2016,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.6,0.4,0.6,0.0,0.0
INFINITI Q50 2016,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0
INFINITI Q60-COUPE 2017,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0
INFINITI Q70 2016,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0
INFINITI QX30 2017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INFINITI QX50 2016,0.0,1.0,0.25,0.25,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0
INFINITI QX60 2016,0.0,0.0,0.6666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0
INFINITI QX60 2017,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
INFINITI QX70 2017,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
INFINITI QX80 2016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAGUAR F-PACE 2017,0.0,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.2857142857142857,1.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.5714285714285714,0.0
JAGUAR F-TYPE 2016,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
JAGUAR F-TYPE 2017,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAGUAR XE 2017,0.5,0.0,0.0,0.5,0.25,0.25,0.0,0.5,0.0,1.0,0.0,0.0
JAGUAR XF 2016,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JEEP CHEROKEE 2016,0.0,0.7142857142857143,1.0,0.0,0.21428571428571427,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0
JEEP CHEROKEE 2017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JEEP COMPASS 2016,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0
JEEP GRAND-CHEROKEE 2016,0.0,0.5454545454545454,1.0,0.09090909090909091,0.0,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0
JEEP GRAND-CHEROKEE 2017,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
JEEP PATRIOT 2016,0.0,0.6666666666666666,1.0,0.0,0.0,0.26666666666666666,0.0,0.26666666666666666,0.6,0.0,0.26666666666666666,0.0
JEEP PATRIOT 2017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JEEP RENEGADE 2016,0.1111111111111111,0.8888888888888888,1.0,0.1111111111111111,0.5555555555555556,0.0,0.1111111111111111,0.3333333333333333,0.8888888888888888,0.4444444444444444,0.1111111111111111,0.0
JEEP WRANGLER 2016,0.0,1.0,1.0,1.0,0.25,0.75,0.0,0.25,0.75,0.0,0.0,0.0
JEEP WRANGLER 2017,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0
KIA FORTE 2016,0.0,0.4,1.0,0.0,0.1,0.1,0.0,0.0,0.3,0.1,0.3,0.0
KIA FORTE 2017,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
KIA NIRO 2017,0.25,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0
KIA OPTIMA 2016,0.0,0.4444444444444444,1.0,0.2222222222222222,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,0.1111111111111111,0.0
KIA SEDONA 2016,0.25,0.75,1.0,0.25,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0
KIA SEDONA 2017,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KIA SORENTO 2016,0.0,0.21052631578947367,1.0,0.15789473684210525,0.10526315789473684,0.2894736842105263,0.13157894736842105,0.3157894736842105,0.21052631578947367,0.0,0.18421052631578946,0.07894736842105263
KIA SORENTO 2017,0.0,0.18181818181818182,1.0,0.0,0.0,0.36363636363636365,0.0,0.18181818181818182,0.5454545454545454,0.0,0.5454545454545454,0.0
KIA SOUL-EV 2016,0.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0
KIA SOUL 2016,0.13636363636363635,0.2727272727272727,1.0,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.36363636363636365,0.22727272727272727,0.5,0.36363636363636365,0.0
KIA SPORTAGE 2016,0.0,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
KIA SPORTAGE 2017,0.0,0.5833333333333334,0.6666666666666666,0.16666666666666666,0.75,1.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.4166666666666667
LAND-ROVER DISCOVERY-SPORT 2016,0.0,0.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0
LAND-ROVER LR4 2016,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAND-ROVER RANGE-ROVER-EVOQUE 2016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAND-ROVER RANGE-ROVER-SPORT 2016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEXUS CT-200H 2016,0.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
LEXUS ES-300H 2016,0.0,1.0,0.38461538461538464,0.15384615384615385,0.0,0.5384615384615384,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0
LEXUS ES-350 2016,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,0.0,0.0
LEXUS GS-350 2016,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0
LEXUS GX-460 2016,0.0,0.25,0.25,0.5,0.25,0.5,0.0,0.0,1.0,0.0,0.0,0.0
